super_opeid,name,czname,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,opeid,opeid_name,superopeid_name
9932,Texas State Technical College West Texas,Sweetwater,0.166563019156456,0.0028545972891151905,0.04476677626371384,7.672238280065358e-4,9932,TEXAS STATE TECHNICAL COLLEGE WEST TEXAS,TEXAS STATE TECHNICAL COLLEGE WEST TEXAS
107,Triangle Tech,Pittsburgh,0.25422829389572144,0.004690835252404213,0.04447939991950989,8.207014761865139e-4,7839,TRIANGLE TECH,TRIANGLE TECH
107,Triangle Tech,Pittsburgh,0.25422829389572144,0.004690835252404213,0.04447939991950989,8.207014761865139e-4,20902,TRIANGLE TECH,TRIANGLE TECH
107,Triangle Tech,Pittsburgh,0.25422829389572144,0.004690835252404213,0.04447939991950989,8.207014761865139e-4,21290,TRIANGLE TECH,TRIANGLE TECH
107,Triangle Tech,Pittsburgh,0.25422829389572144,0.004690835252404213,0.04447939991950989,8.207014761865139e-4,21744,TRIANGLE TECH,TRIANGLE TECH
1313,"University Of California, Davis",Sacramento,0.5176985263824463,0.03404713049530983,0.04443798586726189,0.0029225230682641268,1313,"UNIVERSITY OF CALIFORNIA, DAVIS","UNIVERSITY OF CALIFORNIA, DAVIS"
1139,"California State University, Long Beach",Los Angeles,0.3817595839500427,0.0030129835940897465,0.04430706426501274,3.4968723775818944e-4,1139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH","CALIFORNIA STATE UNIVERSITY, LONG BEACH"
1142,"California State University, San Bernardino",Los Angeles,0.3119809627532959,0.008116792887449265,0.04398220404982567,0.001144282752647996,1142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO","CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO"
1286,Santa Monica College,Los Angeles,0.19325552880764008,0.005636175163090229,0.04385114461183548,0.001278890878893435,1286,SANTA MONICA COLLEGE,SANTA MONICA COLLEGE
1138,"California State University, East Bay",San Francisco,0.4397991895675659,0.009393212385475636,0.04348885267972946,9.288330329582095e-4,1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY","CALIFORNIA STATE UNIVERSITY, EAST BAY"
2655,New Mexico Junior College,Hobbs,0.19683867692947388,0,0.04338780790567398,0,2655,NEW MEXICO JUNIOR COLLEGE,NEW MEXICO JUNIOR COLLEGE
2025,Southern University And Agricultural & Mechanical Colg At Baton R,Baton Rouge,0.13886789977550507,0.0028432358521968126,0.04338439926505089,8.882692200131714e-4,2025,SOUTHERN UNIVERSITY AND AGRICULTURAL & MECHANICAL COLG AT BATON R,SOUTHERN UNIVERSITY AND AGRICULTURAL & MECHANICAL COLG AT BATON R
2639,Stevens Institute Of Technology,Newark,0.6247039437294006,0.032940544188022614,0.042902324348688126,0.00226223305799067,2639,STEVENS INSTITUTE OF TECHNOLOGY,STEVENS INSTITUTE OF TECHNOLOGY
2710,Cooper Union For The Advancement Of Science & Art,New York,0.5164656639099121,0.07006654143333435,0.042776379734277725,0.005803276319056749,2710,COOPER UNION FOR THE ADVANCEMENT OF SCIENCE & ART (THE),COOPER UNION FOR THE ADVANCEMENT OF SCIENCE & ART
1988,"Union College of Barbourville, KY",London,0.17389260232448578,2.827271819114685e-4,0.042775630950927734,6.95477137924172e-5,1988,UNION COLLEGE,"UNION COLLEGE OF BARBOURVILLE, KY"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,2455,DEVRY INSTITUTE OF TECHNOLOGY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,3099,DEVRY INSTITUTE OF TECHNOLOGY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,7648,DENVER TECHNICAL COLLEGE,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,8322,DEVRY INSTITUTE OF TECHNOLOGY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,9224,DEVRY INSTITUTE OF TECHNOLOGY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,9228,DEVRY COLLEGE OF TECHNOLOGY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,10139,DEVRY INSTITUTE OF TECHNOLOGY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,10727,DEVRY UNIVERSITY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,22966,DEVRY INSTITUTE OF TECHNOLOGY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
91,"Devry University, Devry Institute Of Technology And Denver Technical College",Chicago,0.2426595687866211,0.004468407481908798,0.0427648164331913,7.8748440137133e-4,23329,DEVRY INSTITUTE OF TECHNOLOGY,"DEVRY UNIVERSITY, DEVRY INSTITUTE OF TECHNOLOGY AND DENVER TECHNICAL COLLEGE"
1251,Otis College Of Art & Design,Los Angeles,0.39971697330474854,4.975518677383661e-4,0.04266877844929695,5.3112406021682546e-5,1251,OTIS COLLEGE OF ART & DESIGN,OTIS COLLEGE OF ART & DESIGN
1329,University Of The Pacific,Sacramento,0.49739423394203186,0.006364482454955578,0.04254082962870598,5.443375557661057e-4,1329,UNIVERSITY OF THE PACIFIC,UNIVERSITY OF THE PACIFIC
