cz,has_dad_pooled_pooled_mean,has_mom_pooled_pooled_mean,two_par_pooled_pooled_mean,kfr_top01_pooled_pooled_mean,kfr_top20_pooled_pooled_mean,kfr_26_pooled_pooled_mean,kir_top01_pooled_pooled_mean,kir_top20_pooled_pooled_mean,lpov_nbh_pooled_pooled_mean,staycz_pooled_pooled_mean,stayhome_pooled_pooled_mean,teenbrth_pooled_female_mean,work_24_pooled_pooled_mean
4401,0.8634921312332153,0.9408608675003052,0.8043351769447327,0.004997284151613712,0.11227694898843765,0.47713831067085266,0.0036708018742501736,0.09209426492452621,0.15703429281711578,0.7231581211090088,0.17070993781089783,0.2422872632741928,0.7982001304626465
4402,0.8468003273010254,0.941476583480835,0.7883027195930481,0.0030016510281711817,0.1304122358560562,0.4877799153327942,0.0025262811686843634,0.11621057242155075,0.24564729630947113,0.6710836887359619,0.14169788360595703,0.22628043591976166,0.8054894208908081
4501,0.8933659791946411,0.9495413303375244,0.8430237770080566,0.003235762706026435,0.09782353043556213,0.46598342061042786,0.0022033448331058025,0.08639810979366302,0.13405658304691315,0.6278311610221863,0.16562055051326752,0.19640521705150604,0.7594358325004578
4502,0.8924848437309265,0.941683828830719,0.8341158032417297,0.004257015883922577,0.12835170328617096,0.4908500611782074,0.0036625564098358154,0.11503580212593079,0.1192048117518425,0.627846360206604,0.1801794022321701,0.1875378042459488,0.754016101360321
4601,0.8765222430229187,0.9517261385917664,0.8282544612884521,0.0052915601991117,0.12231768667697906,0.4968705177307129,0.003677817527204752,0.09537860006093979,0.15038636326789856,0.6505687832832336,0.11045514047145844,0.22912508249282837,0.821686863899231
4602,0.8685740828514099,0.937157392501831,0.8057296872138977,0.004838902503252029,0.10365229845046997,0.4733726978302002,0.0042497883550822735,0.08938731998205185,0.14917440712451935,0.7096380591392517,0.14253011345863342,0.24529080092906952,0.7976606488227844
4701,0.6686552166938782,0.7965097427368164,0.465139240026474,0.005266252905130386,0.1077057272195816,0.40619203448295593,0.004610156640410423,0.12054335325956345,0.21314100921154022,0.5222603678703308,0.13892057538032532,0.3703911602497101,0.7801575660705566
4702,0.6685622334480286,0.8279709219932556,0.49652472138404846,0.006968938745558262,0.10884629189968109,0.4051041305065155,0.0047493865713477135,0.11238422244787216,0.20145094394683838,0.5680747628211975,0.16404643654823303,0.3827987015247345,0.7798534035682678
4800,0.5942608118057251,0.7889568209648132,0.38321080803871155,0.004050545394420624,0.0883655995130539,0.3750919997692108,0.0036574688274413347,0.10261780023574829,0.19511978328227997,0.4664202332496643,0.13489721715450287,0.42296266555786133,0.7822055816650391
4901,0.752181351184845,0.8977859020233154,0.6499797105789185,0.0062941331416368484,0.1337542086839676,0.4750714898109436,0.005263792350888252,0.11932945251464844,0.31085827946662903,0.6201527118682861,0.131023108959198,0.29222366213798523,0.8399060368537903
4902,0.7291664481163025,0.8827729225158691,0.6119601130485535,0.0040994733572006226,0.11347243934869766,0.4482577443122864,0.002392337890341878,0.10499701648950577,0.20908105373382568,0.6108819246292114,0.14382685720920563,0.35332077741622925,0.8152909874916077
4903,0.8425104022026062,0.9280545115470886,0.7706018686294556,0.0027401302941143513,0.12557557225227356,0.5064800381660461,7.989341975189745e-4,0.10682644695043564,0.13246279954910278,0.6855910420417786,0.11613945662975311,0.25467124581336975,0.8090481758117676
5000,0.7616634964942932,0.9018197059631348,0.6635111570358276,0.004796020686626434,0.11786414682865143,0.4788331985473633,0.004133416805416346,0.11249814182519913,0.2295810431241989,0.6797502636909485,0.14861708879470825,0.28599098324775696,0.8325911164283752
5100,0.8276515603065491,0.9325063228607178,0.7601819634437561,0.0029952097684144974,0.12225311249494553,0.48937079310417175,0.004323206376284361,0.11523109674453735,0.13031812012195587,0.682475209236145,0.1320641040802002,0.2559722661972046,0.8248366713523865
5201,0.8134661316871643,0.9128162264823914,0.7262697219848633,0.0032524687703698874,0.10648047178983688,0.5038362145423889,0.0028807767666876316,0.10049623250961304,0.12817269563674927,0.6450580954551697,0.1260787397623062,0.3016553819179535,0.8419739007949829
5202,0.6633403897285461,0.8691475987434387,0.5324866771697998,0.007052706554532051,0.1356325000524521,0.4406551718711853,0.0069609470665454865,0.14037661254405975,0.3995276093482971,0.7314878106117249,0.1808667629957199,0.3157946765422821,0.8246212601661682
5300,0.6648009419441223,0.8532872796058655,0.5180864930152893,0.006818896625190973,0.10215557366609573,0.4078737199306488,0.005028642248362303,0.11398027837276459,0.2566339671611786,0.5169729590415955,0.14119650423526764,0.4199073910713196,0.8023479580879211
5401,0.8466430902481079,0.9333263039588928,0.7799623608589172,0.006379255093634129,0.14824962615966797,0.504533052444458,0.006476841401308775,0.12478552013635635,0.25606489181518555,0.6818041205406189,0.1133083626627922,0.22352740168571472,0.8411454558372498
5402,0.8815516233444214,0.9428920149803162,0.8244150876998901,0.004549380857497454,0.12235240638256073,0.5071529150009155,0.00520261749625206,0.10039523243904114,0.16778713464736938,0.6757261157035828,0.10819385945796967,0.22847901284694672,0.8275084495544434
5500,0.8315727710723877,0.9285284280776978,0.760100781917572,0.005094653461128473,0.13763338327407837,0.5034386515617371,0.005542221944779158,0.1294449269771576,0.34504416584968567,0.6335939168930054,0.13463431596755981,0.24212220311164856,0.8378878235816956
5600,0.7902848720550537,0.9218988418579102,0.7121841311454773,0.008374270983040333,0.17812752723693848,0.5028327703475952,0.008599625900387764,0.16313503682613373,0.49306580424308777,0.7424263954162598,0.14865148067474365,0.21664977073669434,0.8466269969940186
5700,0.8328019976615906,0.9323293566703796,0.7651224732398987,0.00505589134991169,0.15374600887298584,0.5052313208580017,0.005557260010391474,0.14289206266403198,0.26709622144699097,0.6462376117706299,0.13282239437103271,0.24065767228603363,0.8353877067565918
5800,0.8261706829071045,0.9337248802185059,0.7598993182182312,0.00379541446454823,0.14511047303676605,0.49768003821372986,0.004167309962213039,0.13270017504692078,0.29973360896110535,0.61637115478515625,0.12082286179065704,0.23849603533744812,0.8302991390228271
